CHI;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
55031;Minister of Armament;Bai Chongxi;1937;1964;1964;PA;Resource Industrialist;Low;M52045;X
55032;Minister of Armament;Xu Yongchang;1938;1964;1964;PA;Reformer;High;M52046;X
55033;Minister of Armament;Huang Chenzuo;1939;1964;1964;PA;Military Entrepreneur;High;M52047;X
55034;Minister of Armament;He Yingqin;1939;1964;1964;PA;Air Superiority Proponent;High;M52048;X
55035;Minister of Armament;Chen Guofu;1914;1964;1964;SC;Mixed economy;Low;M52005;X
55036;Minister of Armament;Cai Wenzhi;1941;1964;1964;PA;Tank Proponent;High;M52050;X
55037;Minister of Armament;He Guoguang;1942;1964;1964;PA;Air to Ground Proponent;High;M52051;X
55038;Minister of Armament;Chen Shaokuan;1942;1964;1964;PA;Battle Fleet Proponent;Medium;M52009;X
55039;Minister of Armament;Yu Feipeng;1942;1964;1964;PA;Infantry Proponent;High;M52053;X
55040;Minister of Armament;Wang Shuming;1943;1964;1964;PA;Air to Sea Proponent;High;M52054;X
55041;Minister of Armament;Jiang Jingguo;1945;1964;1964;PA;Administrative Genius;High;M52055;X
55042;Minister of Armament;Du Jianshi;1946;1964;1964;PA;Strategic Air Proponent;High;M52056;X
55043;Minister of Armament;Weng Wenhao;1939;1964;1964;SC;laissez-faire capitalist;Medium;M52057;X
55044;Minister of Armament;He Yingqin;1943;1964;1964;SC;Infantry Proponent;Medium;M52058;X
55045;Minister of Armament;Chen Gongbo;1939;1964;1964;FA;Keynesian economy;Medium;M52014;X
55046;Minister of Armament;Yang Luchang;1941;1964;1964;FA;Resource Industrialist;Medium;M52043;X
55047;Minister of Armament;Chan Chak;1943;1964;1964;FA;Submarine Proponent;High;M52061;X
55048;Minister of Security;Dai Li;1938;1964;1964;PA;Crime Fighter;Very High;M52063;X
55049;Minister of Security;Walther Stennes;1937;1964;1964;PA;Back Stabber;Very High;M52064;X
55050;Minister of Security;Wu Zhongxin;1938;1964;1964;PA;Compassionate Gentleman;High;M52065;X
55051;Minister of Security;Huang Musong;1939;1964;1964;PA;Efficient Sociopath;High;M52066;X
55052;Minister of Security;Gu Zhenglun;1940;1964;1964;PA;Crime Fighter;Very High;M52067;X
55053;Minister of Security;Liu Fei;1941;1964;1964;PA;Silent Lawyer;Medium;M52068;X
55054;Minister of Security;Jiang Jingguo;1943;1964;1964;PA;Man of the People;Very High;M52055;X
55055;Minister of Security;Chen Lifu;1939;1964;1964;SC;Back Stabber;Medium;M52006;X
55056;Minister of Security;Kong Xiangxi;1943;1964;1964;SC;Man of the People;High;M52030;X
55057;Minister of Security;Kang Ze;1944;1964;1964;SC;Prince of Terror;Medium;M52072;X
55058;Minister of Security;Cai Yuanpei;1933;1964;1964;SC;Compassionate Gentleman;Medium;M52073;X
55059;Minister of Security;Ding Motun;1933;1964;1964;SC;Secret police chief;Medium;M52015;X
55060;Minister of Security;Wang Kemin;1941;1964;1964;FA;Man of the People;Medium;M52012;X
55061;Minister of Security;Chan Hon-sam;1943;1964;1964;FA;Prince of Terror;High;M52076;X
55062;Minister of Security;Chen Fake;1944;1964;1964;FA;Efficient Sociopath;High;M52077;X
55063;Head of Military Intelligence;Dai Li;1937;1964;1964;PA;Political Specialist;Very High;M52063;X
55064;Head of Military Intelligence;He Yaozu;1939;1964;1964;PA;Industrial Specialist;Low;M52079;X
55065;Head of Military Intelligence;Mao Renfeng;1940;1964;1964;PA;Logistics Specialist;Very High;M52080;X
55066;Head of Military Intelligence;Jiang Yiying;1944;1964;1964;PA;Dismal Enigma;Very High;M52064;X
55067;Head of Military Intelligence;Yang Xuancheng;1941;1964;1964;PA;Naval Intelligence Specialist;Very High;M52082;X
55068;Head of Military Intelligence;Zheng Jiemin;1942;1964;1964;PA;Technical Specialist;Very High;M52083;X
55069;Head of Military Intelligence;Zhang Xueliang;1933;1964;1964;SC;Logistics Specialist;Low;M52008;X
55070;Head of Military Intelligence;Li Shiqun;1939;1964;1964;FA;Political Specialist;Medium;M52016;X
55071;Head of Military Intelligence;Chen Fake;1943;1964;1964;FA;Logistics Specialist;High;M52077;X
55072;Chief of Staff;Bai Chongxi;1923;1964;1964;PA;School of Mass Combat;Low;M52045;X
55073;Chief of Staff;Jiang Baili;1935;1964;1964;PA;School of Psychology;High;M52089;X
55074;Chief of Staff;Qian Dajun;1941;1964;1964;PA;School of Defence;High;M52090;X
55075;Chief of Staff;Lin Wei;1943;1964;1964;PA;School of Manoeuvre;High;M52035;X
55076;Chief of Staff;Xiao Yishu;1945;1964;1964;PA;School of Fire Support;High;M52092;X
55077;Chief of Staff;Xu Zuyi;1939;1964;1964;SC;School of Defence;High;M52093;X
55078;Chief of Staff;Qi Xieyuan;1939;1964;1964;FA;commando doctrine staff;Low;M52017;X
55079;Chief of Army;Li Zongren;1923;1964;1964;PA;Static Defence Doctrine;High;M52031;X
55080;Chief of Army;Jiang Baili;1935;1964;1964;PA;Doctrine of autonomy;High;M52089;X
55081;Chief of Army;Gu Zhutong;1939;1964;1964;PA;Decisive Battle Doctrine;Low;M52097;X
55082;Chief of Army;Xu Tingyao;1944;1964;1964;PA;Armoured Spearhead Doctrine;High;M52098;X
55083;Chief of Army;He Yingqin;1939;1964;1964;SC;Elastic Defence Doctrine;High;M52058;X
55084;Chief of Army;Bao Wenyue;1939;1964;1964;FA;Static Defence Doctrine;Low;M52018;X
55085;Chief of Navy;Ouyang Ge;1937;1964;1964;PA;Open Seas Doctrine;High;M52101;X
55086;Chief of Navy;Zeng Yiding;1939;1964;1964;PA;Base Control Doctrine;Medium;M52102;X
55087;Chief of Navy;Chen Jiliang;1943;1964;1964;PA;Indirect Approach Doctrine;Medium;M52103;X
55088;Chief of Navy;Gui Yongqing;1945;1964;1964;PA;Decisive Naval Battle Doctrine;Very High;M52104;X
55089;Chief of Navy;Chen Cheng;1945;1964;1964;PA;Power Projection Doctrine;Very High;M52105;X
55090;Chief of Navy;Ren Shouxu;1939;1964;1964;SC;Open Seas Doctrine;Low;M52106;X
55091;Chief of Navy;Ren Yuandao;1939;1964;1964;FA;Open Seas Doctrine;Low;M52019;X
55092;Chief of Air Force;Huang Chenzuo;1937;1964;1964;PA;Air Superiority Doctrine;High;M52047;X
55093;Chief of Air Force;Shen Honglie;1937;1964;1964;PA;Naval Aviation Doctrine;Very High;M52109;X
55094;Chief of Air Force;Wang Shuming;1945;1964;1964;PA;Vertical Envelopment Doctrine;High;M52054;X
55095;Chief of Air Force;Qian Dajun;1939;1964;1964;SC;Carpet Bombing Doctrine;Very High;M52090;X
55096;Chief of Air Force;Chen Changchu;1939;1964;1964;FA;Army Aviation Doctrine;Low;M52020;X
55097;Head of Government;Yen Hsi-shan;1949;1964;1964;PA;Old General;High;M52114;X
55098;Head of Government;Ch'en Ch'eng;1950;1964;1964;PA;Political Protege;High;M52115;X
55200;Head of State;Tang Jiyao;1909;1927;1928;PA;Autocratic Charmer;High;9457;X
55201;Head of Government;Ren Kecheng;1914;1933;1933;PA;Silent Workhorse;High;9458;X
55202;Foreign Minister;Long Jinguang;1913;1930;1930;PA;General Staffer;High;9459;X
55203;Minister of Armament;Ren Kecheng;1913;1933;1933;PA;Military Entrepreneur;Medium;9458;X
55204;Minister of Security;Tang Jiyao;1909;1927;1928;PA;Man of the People;Medium;9457;X
55205;Head of Military Intelligence;Tang Jiyao;1909;1927;1928;PA;Political Specialist;Medium;9457;X
55206;Chief of Staff;Tang Jiyao;1909;1927;1928;PA;School of Psychology;High;9457;X
55207;Chief of Army;Long Jinguang;1913;1930;1930;PA;Decisive Battle Doctrine;Medium;9459;X
55208;Chief of Navy;Ren Kecheng;1914;1933;1933;PA;Open Seas Doctrine;Medium;9458;X
55209;Chief of Air Force;Tang Jiyao;1909;1927;1928;PA;Army Aviation Doctrine;Medium;9457;X
55210;Head of State;Cai E;1900;1917;1917;SC;Cai E;High;9460;X
55211;Head of Government;Zhou Zhongyue;1915;1930;1930;SC;Naive Optimist;High;9461;X
55212;Foreign Minister;Cai E;1900;1917;1917;SC;Ideological Crusader;Medium;9460;X
55213;Minister of Armament;Zhou Zhongyue;1915;1930;1930;SC;Laissez-faire Capitalist;Medium;9461;X
55214;Minister of Security;Liang Qichao;1895;1918;1918;ML;Compassionate Gentleman;Medium;9462;X
55215;Head of Military Intelligence;Li Liejun;1908;1946;1946;PA;Dismal Enigma;Medium;9463;X
55216;Chief of Staff;Cai E;1900;1917;1917;SC;School of Mass Combat;Medium;9460;X
55217;Chief of Army;Li Liejun;1915;1945;1945;PA;Decisive Battle Doctrine;Medium;9463;X
55218;Chief of Navy;Li Dingxin;1886;1930;1930;PA;Decisive Naval Battle Doctrine;High;9464;X
55219;Head of Government;Tang Jiyao;1909;1927;1928;FA;Old General;High;9457;X
55220;Chief of Army;Tang Jiyao;1909;1927;1928;PA;Decisive Battle Doctrine;Medium;9457;X
55221;Head of State;Long Jinguang;1916;1930;1930;PA;Resigned Generalissimo;High;9459;X
55222;Head of Government;Gu Pinzhen;1921;1933;1933;PA;Silent Workhorse;High;9465;X
55223;Chief of Staff;Luo Peijin;1909;1923;1923;PA;School of Fire Support;High;9551;X
55300;Head of State;Sun Zongshan;1895;1926;1926;SD;Sun Zhongshan_1;High;9511;X
55301;Head of Government;Sun Zongshan;1895;1926;1926;SD;Sun Zhongshan_2;High;9511;X
55302;Minister of Armament;Tang Shaoyi;1912;1924;1924;SC;Resource Industrialist;Medium;9486;X
55303;Minister of Security;Hu Hanmin;1907;1934;1937;SC;Man of the People;Medium;9512;X
55304;Head of Military Intelligence;Hu Hanmin;1897;1934;1937;SC;Political Specialist;Very High;9512;X
55305;Chief of Staff;Li Liejun;1908;1946;1946;PA;School of Mass Combat;Medium;9463;X
55306;Chief of Army;Xu Chongzhi;1906;1927;1951;SC;Decisive Battle Doctrine;Medium;9513;X
55307;Chief of Navy;Cheng Biguang;1894;1918;1918;SC;Decisive Naval Battle Doctrine;High;9514;X
55308;Chief of Air Force;Xu Chongzhi;1906;1927;1951;SC;Army Aviation Doctrine;Medium;9513;X
55309;Chief of Army;Tang Jiyao;1909;1927;1928;PA;Decisive Battle Doctrine;Medium;9457;X
55310;Chief of Army;Chen Jiongming;1909;1922;1933;PA;Guns and Butter Doctrine;Medium;9515;X
55311;Head of Military Intelligence;Chen Jiongming;1909;1922;1933;PA;Dismal Enigma;Very High;9515;X
55312;Head of Military Intelligence;Jiang Jieshi;1912;1976;1976;PA;Logistics Specialist;High;9516;X
55313;Foreign Minister;Wu Chaoshu;1913;1935;1935;SC;Apologetic Clerk;High;9517;X
55314;Minister of Armament;Liao Zhongkai;1905;1926;1926;SC;Administrative Genius;Medium;9518;X
55315;Minister of Security;Chen Jiongming;1909;1922;1933;PA;Prince of Terror;Medium;9515;X
55316;Chief of Army;Xu Shaozhen;1904;1926;1926;SC;Static Defence Doctrine;High;9519;X
55317;Chief of Staff;Chen Jiongming;1909;1922;1933;PA;School of Manoeuvre;High;9515;X
55318;Head of State;Hu Hanmin;1907;1934;1937;SC;Weary Stiffneck;High;9512;X
55319;Head of Government;Hu Hanmin;1907;1934;1937;SC;Political Protege;Very High;9512;X
55320;Chief of Staff;Jiang Jieshi;1912;1976;1976;PA;School of Mass Combat;Medium;9516;X
55321;Chief of Army;Jiang Jieshi;1912;1976;1976;PA;Decisive Battle Doctrine;Medium;9516;X
55322;Head of Military Intelligence;Mikhail Borodin;1923;1928;1928;LWR;Dismal Enigma;Very High;9520;X
55323;Head of State;Jiang Jieshi;1912;1976;1976;PA;Resigned Generalissimo;High;9516;X
55324;Head of Government;Jiang Jieshi;1912;1976;1976;PA;Old General;High;9516;X
55325;Foreign Minister;Wu Tingfang;1896;1922;1922;SC;Biased Intellectual;High;9488;X
55326;Head of Government;Wu Tingfang;1896;1922;1922;SC;Naive Optimist;High;9488;X
55400;Head of State;Lu Rongting;1886;1925;1929;PA;Resigned Generalissimo;High;9544;X
55401;Head of Government;Li Guoyun;1903;1925;1956;PA;Naive Optimist;High;9545;X
55402;Foreign Minister;Lu Rongting;1886;1925;1929;PA;Biased Intellectual;High;9544;X
55403;Minister of Armament;Chen Bingkun;1904;1925;1928;PA;Resource Industrialist;Medium;9546;X
55404;Minister of Security;Zhu Qinglan;1893;1942;1942;PA;Man of the People;Medium;9547;X
55405;Head of Military Intelligence;Zhu Qinglan;1893;1942;1942;PA;Political Specialist;Very High;9547;X
55406;Chief of Staff;Lu Rongting;1886;1925;1929;PA;School of Mass Combat;Medium;9544;X
55407;Chief of Army;Tan Haoming;1893;1925;1926;PA;Decisive Battle Doctrine;Medium;9549;X
55408;Chief of Navy;Lin Baoyi;1894;1928;1931;PA;Decisive Naval Battle Doctrine;High;9550;X
55409;Chief of Air Force;Lu Rongting;1886;1925;1929;PA;Army Aviation Doctrine;Medium;9544;X
55410;Head of State;Chen Bingkun;1904;1925;1928;PA;Autocratic Charmer;High;9546;X
55411;Head of State;Tan Haoming;1893;1925;1926;PA;Resigned Generalissimo;High;9549;X
55412;Head of Government;Zhu Qinglan;1893;1942;1942;PA;Old General;High;9548;X
55413;Foreign Minister;Zhu Qinglan;1893;1942;1942;PA;General Staffer;High;9548;X
55414;Head of State;Cen Chenxuan;1918;1933;1933;PA;Cen Chenxuan;High;9552;X
55415;Head of Government;Lu Rongting;1886;1925;1929;PA;Old General;High;9544;X
55416;Head of State;Chen Jiongming;1909;1922;1933;PA;Weary Stiffneck;High;9515;X
55417;Head of Government;Ma Junwu;1902;1925;1941;PA;Happy Amateur;High;9553;X
