U87;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
1250029;Chief of Navy;Red Shadow;1933;1964;1999;LE;Undistinguished Suit;Very High;unknownminister;X
1250030;Chief of Air Force;Red Shadow;1933;1964;1999;LE;Undistinguished Suit;Very High;unknownminister;X
1250031;Head of State;Chen Gongbo;1944;1964;1999;FA;Local tyrant2;High;M52014;X
1250032;Chief of Staff;Xiao Shuxuan;1933;1964;1999;FA;School of Defence;Very High;8144;X
1250033;Minister of Security;Ding Motun;1939;1964;1999;FA;Secret police chief;Very High;M52015;X
1250034;Chief of Air Force;Hayao Tada;1936;1964;1999;NS;Army Aviation Doctrine;Very High;8624;X
1250035;Chief of Army;Abe Nobuyuki;1940;1964;1999;PA;Elastic Defence Doctrine;Medium;8592;X
1250036;Chief of Army;Bao Wenyue;1936;1964;1999;FA;Static Defence Doctrine;Very High;unknownminister;X
1250037;Chief of Army;Bao Wenyue;1941;1964;1999;FA;Static Defence Doctrine;Low;unknownminister;X
1250038;Chief of Army;Liang Hongzhi;1936;1964;1999;NS;Decisive Battle Doctrine;Very High;9132;X
1250039;Chief of Army;Wang Ying;1936;1964;1999;PA;Elastic Defence Doctrine;Very High;unknownminister;X
1250040;Chief of Army;Zhou Fohai;1936;1964;1999;FA;Guns and Butter Doctrine;Very High;8625;X
1250041;Chief of Navy;Hsien Kung-che;1936;1964;1999;FA;Open Seas Doctrine;Very High;unknownminister;X
1250042;Chief of Navy;Shen Hung-lieh;1936;1964;1999;NS;Decisive Naval Battle Doctrine;Very High;unknownminister;X
1250043;Chief of Staff;Abe Nobuyuki;1939;1964;1999;PA;School of Defence;Medium;8592;X
1250044;Chief of Staff;Hayao Tada;1936;1964;1999;FA;School of Manoeuvre;Very High;8624;X
1250045;Chief of Staff;Liang Hongzhi;1936;1964;1999;FA;School of Fire Support;Very High;9132;X
1250046;Chief of Staff;Qi Xieyuan;1941;1964;1999;FA;School of Fire Support;Low;unknownminister;X
1250047;Chief of Staff;Teiichi Suzuki;1936;1964;1999;FA;School of Psychology;Very High;unknownminister;X
1250048;Chief of Staff;Yang Kuiyi;1939;1964;1999;FA;School of Manoeuvre;Very High;unknownminister;X
1250049;Foreign Minister;Abe Nobuyuki;1942;1964;1999;PA;General Staffer;Medium;8592;X
1250050;Foreign Minister;Wang JingWei;1939;1964;1999;FA;Biased Intellectual;Medium;unknownminister;X
1250051;Foreign Minister;Yang Luchang;1944;1964;1999;FA;Great Compromiser;Medium;unknownminister;X
1250052;Foreign Minister;Zhou Fohai;1936;1964;1999;NS;Iron Fisted Brute;Very High;8625;X
1250053;Head of Government;Chen Gongbo;1940;1964;1999;FA;Silent Workhorse;Very High;unknownminister;X
1250054;Head of Government;Liang Hongzhi;1936;1964;1999;FA;Happy Amateur;Very High;9132;X
1250056;Head of Military Intelligence;Chao Kung;1937;1964;1999;FA;Political Specialist;Medium;8593;X
1250057;Head of Military Intelligence;Chao Kung;1937;1964;1999;FA;Political Specialist;Medium;8593;X
1250058;Head of State;Liang Hongzhi;1936;1964;1999;FA;Pig-headed Isolationist;Very High;9132;X
1250059;Minister of Armament;Bao Wenyue;1936;1964;1999;FA;Infantry Proponent;Very High;unknownminister;X
1250060;Minister of Armament;Chan Chak;1943;1964;1999;FA;Submarine Proponent;High;unknownminister;X
1250061;Minister of Armament;Chen Gongbo;1939;1964;1999;FA;laissez-faire capitalist;Medium;unknownminister;X
1250062;Minister of Armament;Fu Xiaoan;1936;1964;1999;PA;Resource Industrialist;Very High;8595;X
1250063;Minister of Armament;Tao Liang;1936;1964;1999;PA;Resource Industrialist;Very High;unknownminister;X
1250064;Minister of Armament;Yang Luchang;1941;1964;1999;FA;Resource Industrialist;Medium;unknownminister;X
1250065;Minister of Security;Chan Hon-sam;1943;1964;1999;FA;Prince of Terror;High;unknownminister;X
1250066;Minister of Security;Chen Fake;1944;1964;1999;FA;Efficient Sociopath;Medium;unknownminister;X
1250067;Minister of Security;Zhou Fohai;1936;1964;1999;FA;Efficient Sociopath;Very High;8625;X
